,307
AAPL,66671.9471417929
ARE,58310.212838226405
GLD,339903.9215748232
MSFT,132799.85478687615
PFE,215075.93344754964
SPY,169232.84383671632
TSLA,18005.286374015428
risk,21769.52799916932
return,140669.62551714448
